"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
12.0797984040567,-1.44869928114528,0.456518310309569,-3.17336511686225,0.00150682898668002,0.0245771738406389,"PDK4"
32.9034615760988,-1.45448025181589,0.413834778241518,-3.51463996814459,0.000440350546431793,0.0113092238402662,"FOSB"
54.0179974100822,-1.45576963053529,0.51736371265016,-2.81382245205837,0.00489562594197768,0.0485015670400241,"FLYWCH1"
4.19772168616752,-1.47064272435345,0.520790273734134,-2.82386749239526,0.00474479967061969,0.0477924187841292,"CYB5D2"
30.6791661198463,-1.49388708525891,0.466719686032771,-3.20082295640303,0.0013703570372908,0.0232062101560884,"MIR328"
15.2726345019573,-1.5175196687879,0.452266819206529,-3.35536370200733,0.000792607033106672,0.0169399254868798,"FZD4"
3.87157634292353,-1.66443178262276,0.573068744184499,-2.9044190588187,0.00367935325363,0.0414810943179397,"SHE"
572.102717904943,-1.66816293575731,0.572678665285404,-2.91291266268136,0.00358074734354423,0.0410990222875688,NA
2.87672478078333,-1.67146288609052,0.557320320226895,-2.99910630462934,0.00270772813555643,0.0348666876402606,NA
10.0775724283025,-1.67287672262185,0.596181039640321,-2.80598779798683,0.0050162591833376,0.0491424253187457,"LAMP3"
44.5407019040886,-1.73619289184139,0.530060510211946,-3.27546168483136,0.00105489422622056,0.0200559337856288,"SFTPC"
4.5448737576797,-1.74022476392393,0.585909392282159,-2.97012607554495,0.00297677553463968,0.0366633800784395,"SPOCK2"
156.952753269756,-1.74624838060264,0.399001893150061,-4.37654159186131,1.20577191620365e-05,0.00114388382703524,"MIR139"
16.4796470612694,-1.7843230611453,0.568024575045111,-3.14127792975083,0.00168212320711238,0.0259078365093905,"CAVIN2"
4.38088790849796,-1.79626956883896,0.580034019194355,-3.09683485691737,0.00195598807877088,0.0285166739301563,"CEBPA"
17.174691024246,-1.80159843413273,0.374917021886092,-4.80532578934252,1.54499716458833e-06,0.000326128067190118,"MIR584"
7.88312919777222,-1.80812198204179,0.447348971797604,-4.04186014952963,5.30288573504107e-05,0.00304326720238746,"ADRB2"
2.45153129748132,-1.85320479928364,0.576960091241161,-3.21201557511024,0.00131807229290877,0.022904893658267,"MIR2681"
145.329222788439,-1.86414753385489,0.442713613532156,-4.21073009023133,2.54546721163654e-05,0.00180650447836526,"MIR1-1"
126.601649593764,-1.90050866821656,0.64465732695058,-2.94809131729957,0.00319742599441308,0.0383696880179321,"MIR184"
2.20751353332608,-1.90681596722883,0.602919134696145,-3.16263966010933,0.0015634572222539,0.0252188790561229,"SKIDA1"
4.97404896768928,-1.91724027837464,0.563423472088111,-3.40284062229273,0.00066689169965534,0.0153990247794244,"ABI3BP"
3.33001439473265,-1.9231417217676,0.672202817829444,-2.86095456722044,0.00422367574642431,0.0447472195105114,"EDNRB"
9.65026658730163,-1.9494440755794,0.408589267702626,-4.77115829923907,1.83169510283716e-06,0.000362324880235682,"STARD13"
17.8379071414398,-1.9587553244313,0.413155069177192,-4.74096887721167,2.12698607886576e-06,0.000403563052555408,"ZC3H4"
5.5962448420122,-1.97371201906513,0.537877642279358,-3.66944424516542,0.000243078344413757,0.0080999977348197,"MIR4521"
1.64604454521704,-2.01199867243204,0.715031098939551,-2.81386176827273,0.00489502725000542,0.0485015670400241,"S1PR1"
2.61804358911123,-2.05859437913963,0.624766304610832,-3.29498304237444,0.000984276192502529,0.019346333534241,"MIR5588"
2.87248029949443,-2.10980493813938,0.719473928232833,-2.93242722960298,0.00336323730700689,0.0394798197515695,"SMAD6"
5.26713526740402,-2.11214850379959,0.679760767113513,-3.107193892299,0.00188872476242338,0.0280502781409746,"AGER"
2.73027577878034,-2.15127579369425,0.622343830261042,-3.45673193673648,0.000546768455659485,0.0132377769069433,"NCKAP5"
0.911122679025409,-2.15434154030273,0.769256403387098,-2.80055067571357,0.00510154968481682,0.049508462859856,NA
136.610256652648,-2.19633849496647,0.469949947554362,-4.67355833615112,2.96025571085795e-06,0.000509657358219378,"MIR379"
1.6810957781857,-2.35781983975168,0.737579599970456,-3.19669882389117,0.00139009987050598,0.0233702685281992,"ST8SIA6"
4.29675442726504,-2.45869337306807,0.847633748055243,-2.90065535817697,0.00372383192912017,0.0417382989196157,"VEGFD"
2.9102638931295,-2.47274533390015,0.684765075170908,-3.61108564609985,0.00030491793921364,0.00914458735764262,"HCN2"
32.3074647150759,-2.51572870968879,0.625310407676837,-4.0231678200196,5.7420550456255e-05,0.00315880980823552,"EN1"
2.18436840166309,-2.53457183419199,0.850440529445229,-2.98030461441599,0.0028796187395389,0.0363253940590138,"KLF11"
2.01860082721086,-2.59060448916414,0.892204653163387,-2.90359894445622,0.00368900383840388,0.0414810943179397,"SGIP1"
1.56389593535048,-2.72280554740404,0.859648481913319,-3.16734758996362,0.00153836323613235,0.0250037814795848,"IL17RC"
0.929700782980486,-2.88456106382861,1.0205155065435,-2.82657249726527,0.00470490926804359,0.0474420189425176,"FCN3"
3.03041319733128,-2.90040228819337,0.792268129900786,-3.66088471658777,0.000251345840246399,0.00819916588340622,"COL6A6"
2.29774731571442,-3.00545657012874,0.90450386017476,-3.32276809691896,0.000891289776872109,0.0180629958292918,"FENDRR"
2.08714199036075,-3.07123005956876,1.06128431501905,-2.89388057102647,0.00380512860973871,0.0423252824588338,"FIBIN"
1.45200612273341,-3.12906006155406,0.938622012301873,-3.33367428053425,0.000857069592381438,0.0177861071436835,"SLC1A1"
1.21537807947465,-3.19196150276538,1.03866237315405,-3.07314637101228,0.00211814566415113,0.0298299970991383,"IQSEC3-AS2"
